Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute,Recall,F0.5 Score
3_steps_avg5,3,87,117,15,0.853,0.529,30,8.92,6.96,,
3_steps_avg4,2,92,119,16,0.852,0.544,30,9.03,6,,
3_steps_avg5,2,89,118,17,0.84,0.535,30,9.12,7.29,,
3_steps_avg4,3,92,116,18,0.836,0.543,30,9.34,5.92,,
2_steps_avg5,3,89,121,19,0.824,0.536,30,8.7,7.36,,
2_steps_avg5,2,90,122,20,0.818,0.539,30,8.45,6.97,,
2_steps_avg4,3,96,126,22,0.814,0.561,30,7.91,6.48,,
2_steps_avg5,1,94,125,22,0.81,0.555,30,8.61,7.14,,
3_steps_avg4,1,95,122,23,0.805,0.548,30,8.92,5.98,,
1_step_avg4,3,101,134,25,0.802,0.579,30,7.51,5.85,,
1_step_avg5,3,88,119,22,0.8,0.53,30,8.63,5.75,,
1_step_avg5,2,95,127,25,0.792,0.556,30,9.26,6.11,,
2_steps_avg4,2,99,128,27,0.786,0.569,30,7.7,6.59,,
1_step_avg3,2,122,151,34,0.782,0.644,30,6.63,5.7,,
1_step_avg5,1,97,127,27,0.782,0.559,30,9.56,6.47,,
3_steps_avg5,1,89,119,25,0.781,0.524,30,8.93,6.99,,
1_step_avg3,3,106,138,30,0.779,0.587,30,6.73,5.88,,
2_steps_avg4,1,103,131,31,0.769,0.577,30,7.82,6.69,,
1_step_avg4,2,101,133,31,0.765,0.569,30,7.55,5.6,,
1_step_avg2,3,118,144,38,0.756,0.623,30,6.94,6.66,,
2_steps_avg3,3,101,131,33,0.754,0.567,30,7.93,6.06,,
1_step_avg4,1,113,146,37,0.753,0.608,30,8.49,6.63,,
3_steps_avg3,3,86,112,34,0.717,0.499,30,8.64,6.84,,
3_steps_avg3,2,90,115,36,0.714,0.513,30,7.92,6.51,,
2_steps_avg3,2,111,139,45,0.712,0.589,30,7.82,6.55,,
1_step_avg3,1,124,155,52,0.705,0.622,30,6.42,5.46,,
2_steps_avg3,1,113,141,53,0.681,0.585,30,6.77,5.85,,
1_step_avg2,2,137,163,73,0.652,0.636,30,6.17,6.44,,
3_steps_avg2,3,99,127,53,0.651,0.525,30,8.57,6.69,,
2_steps_avg2,2,117,149,63,0.65,0.584,30,7.86,6.82,,
3_steps_avg3,1,100,131,54,0.649,0.532,30,7.79,6.78,,
2_steps_avg2,3,101,127,55,0.647,0.533,30,8.37,6.99,,
3_steps_avg2,2,105,132,61,0.633,0.537,30,7.71,6.17,,
1_step_avg1,3,121,151,71,0.63,0.586,30,6.41,5.78,,
1_step_avg2,1,153,180,93,0.622,0.655,30,6.37,6.88,,
2_steps_avg2,1,128,157,84,0.604,0.591,30,7.22,6.63,,
1_step_avg1,2,150,176,102,0.595,0.634,30,6.32,6.54,,
2_steps_avg1,3,97,122,67,0.591,0.497,30,9.36,7.44,,
3_steps_avg2,1,121,150,85,0.587,0.564,30,7.89,6.29,,
2_steps_avg1,2,115,142,93,0.553,0.531,30,8.21,6.73,,
1_step_avg1,1,191,205,163,0.54,0.656,30,5.5,5.76,,
2_steps_avg1,1,139,170,121,0.535,0.576,30,7.62,6.81,,
