Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
4_steps_avg1,1,49,53,924,0.050,0.081,19.77,6.83,2.76
4_steps_avg1,2,35,37,649,0.051,0.076,20.10,7.84,1.37
4_steps_avg1,3,22,22,537,0.039,0.055,19.15,7.73,-2.29
4_steps_avg2,1,122,143,42,0.744,0.612,10.38,7.56,1.30
4_steps_avg2,2,116,136,34,0.773,0.603,10.64,7.36,1.06
4_steps_avg2,3,103,124,29,0.780,0.561,10.53,6.79,2.00
4_steps_avg3,1,114,138,34,0.770,0.595,10.52,7.02,0.32
4_steps_avg3,2,105,129,25,0.808,0.575,10.70,7.13,1.04
4_steps_avg3,3,94,118,24,0.797,0.533,11.23,6.97,0.92
4_steps_avg4,1,97,118,27,0.782,0.540,10.47,8.09,1.52
4_steps_avg4,2,94,116,22,0.810,0.536,10.53,8.20,0.68
4_steps_avg4,3,88,109,20,0.815,0.513,10.98,8.13,1.11
4_steps_avg5,1,80,101,32,0.714,0.461,13.59,8.03,-0.07
4_steps_avg5,2,77,99,23,0.770,0.460,13.39,8.20,0.45
4_steps_avg5,3,78,99,20,0.796,0.468,13.68,8.60,0.72
5_steps_avg2,1,115,137,75,0.605,0.541,10.73,7.91,3.07
5_steps_avg2,2,96,120,46,0.676,0.509,10.16,7.61,2.67
5_steps_avg2,3,92,115,34,0.730,0.510,10.81,7.50,2.39
5_steps_avg3,1,88,106,36,0.710,0.490,12.41,7.97,1.05
5_steps_avg3,2,84,104,22,0.792,0.493,12.95,8.10,1.71
5_steps_avg3,3,81,101,21,0.794,0.481,13.45,8.01,1.11
5_steps_avg4,1,85,109,23,0.787,0.496,10.67,7.32,-0.53
5_steps_avg4,2,83,109,17,0.830,0.496,10.40,7.15,0.72
5_steps_avg4,3,83,105,15,0.847,0.498,10.97,7.58,0.88
5_steps_avg5,1,80,99,24,0.769,0.472,13.44,8.07,2.25
5_steps_avg5,2,79,98,23,0.775,0.469,13.48,7.92,1.43
5_steps_avg5,3,76,95,20,0.792,0.459,13.60,8.02,1.00
3_steps_v2_avg1,1,92,101,777,0.106,0.167,15.08,6.64,-0.48
3_steps_v2_avg1,2,76,87,563,0.119,0.174,15.96,6.91,-1.22
3_steps_v2_avg1,3,65,75,463,0.123,0.170,18.04,7.32,0.03
3_steps_v2_avg2,1,124,143,80,0.608,0.565,11.07,6.38,1.80
3_steps_v2_avg2,2,117,136,59,0.665,0.569,11.36,6.46,1.74
3_steps_v2_avg2,3,108,125,38,0.740,0.567,11.70,6.51,1.44
3_steps_v2_avg3,1,110,125,42,0.724,0.568,13.26,7.92,1.05
3_steps_v2_avg3,2,105,119,41,0.719,0.551,13.16,7.63,0.86
3_steps_v2_avg3,3,98,113,38,0.721,0.528,13.56,7.68,1.26
3_steps_v2_avg4,1,101,119,39,0.721,0.539,13.66,7.58,1.51
3_steps_v2_avg4,2,98,117,32,0.754,0.537,13.63,7.67,1.01
3_steps_v2_avg4,3,94,113,32,0.746,0.521,13.62,7.55,0.47
3_steps_v2_avg5,1,85,100,51,0.625,0.458,16.98,8.14,0.33
3_steps_v2_avg5,2,80,91,40,0.667,0.451,16.50,8.31,-0.46
3_steps_v2_avg5,3,75,87,39,0.658,0.430,15.84,8.39,-0.50
4_steps_v2_avg1,1,101,115,245,0.292,0.348,15.22,7.10,1.62
4_steps_v2_avg1,2,92,106,170,0.351,0.370,15.57,6.99,2.06
4_steps_v2_avg1,3,81,92,129,0.386,0.364,16.31,7.87,0.55
4_steps_v2_avg2,1,123,143,71,0.634,0.573,11.37,7.69,1.15
4_steps_v2_avg2,2,106,124,32,0.768,0.568,11.97,7.42,1.27
4_steps_v2_avg2,3,100,120,30,0.769,0.548,12.88,7.58,1.49
4_steps_v2_avg3,1,93,105,81,0.534,0.455,14.72,9.18,0.04
4_steps_v2_avg3,2,89,103,55,0.618,0.470,14.82,8.89,-0.49
4_steps_v2_avg3,3,81,95,39,0.675,0.456,15.16,8.37,-0.52
4_steps_v2_avg4,1,95,111,47,0.669,0.504,14.05,8.37,-0.10
4_steps_v2_avg4,2,91,108,33,0.734,0.507,13.81,8.60,-0.39
