Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_avg1,1,175,191,837,0.173,0.283,7.52,6.30,0.32
1_step_avg1,2,144,164,462,0.238,0.346,9.15,6.16,1.03
1_step_avg1,3,116,131,270,0.301,0.377,10.80,5.99,0.51
1_step_avg2,1,137,153,427,0.243,0.346,9.52,5.78,0.20
1_step_avg2,2,119,132,305,0.281,0.364,10.58,6.26,0.22
1_step_avg2,3,106,121,222,0.323,0.381,12.47,6.21,-0.23
1_step_avg3,1,124,143,80,0.608,0.575,10.45,6.29,-0.05
1_step_avg3,2,116,138,56,0.674,0.580,9.99,6.02,0.18
1_step_avg3,3,110,133,52,0.679,0.563,10.29,6.18,-0.13
1_step_avg4,1,118,136,46,0.720,0.602,11.25,6.36,0.90
1_step_avg4,2,114,133,38,0.750,0.600,10.80,6.43,0.69
1_step_avg4,3,112,132,32,0.778,0.602,10.92,6.96,0.81
1_step_avg5,1,115,135,35,0.767,0.608,12.95,7.27,0.90
1_step_avg5,2,110,129,28,0.797,0.601,12.65,7.20,0.70
1_step_avg5,3,95,115,23,0.805,0.549,12.30,7.23,1.13
