Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_avg1,1,177,191,797,0.182,0.295,30,7.59,6.46
1_step_avg1,2,144,164,420,0.255,0.364,30,9.13,6.12
1_step_avg1,3,116,132,266,0.304,0.380,30,10.76,5.88
1_step_avg2,1,138,153,398,0.257,0.362,30,9.48,5.72
1_step_avg2,2,119,134,291,0.290,0.372,30,10.47,6.17
1_step_avg2,3,106,122,208,0.338,0.390,30,12.32,6.10
1_step_avg3,1,124,143,80,0.608,0.575,30,10.50,6.28
1_step_avg3,2,116,138,60,0.659,0.574,30,10.06,6.04
1_step_avg3,3,109,132,55,0.665,0.555,30,10.29,6.17
1_step_avg4,1,119,137,45,0.726,0.609,30,11.47,6.55
1_step_avg4,2,116,135,38,0.753,0.607,30,11.07,6.62
1_step_avg4,3,111,131,33,0.771,0.595,30,10.76,6.73
1_step_avg5,1,115,135,37,0.757,0.604,30,12.91,7.26
1_step_avg5,2,110,129,30,0.786,0.598,30,12.64,7.11
1_step_avg5,3,99,119,21,0.825,0.569,30,12.36,7.21
