Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
2_steps_avg1,1,100,111,1049,0.087,0.145,14.94,6.93,-0.01
2_steps_avg1,2,73,81,799,0.084,0.132,16.73,7.05,-0.24
2_steps_avg1,3,57,62,571,0.091,0.133,18.40,6.56,0.46
2_steps_avg2,1,127,147,247,0.340,0.424,11.81,6.12,0.64
2_steps_avg2,2,121,138,165,0.423,0.472,12.41,6.63,0.84
2_steps_avg2,3,111,126,123,0.474,0.481,12.98,6.72,0.13
2_steps_avg3,1,119,140,37,0.763,0.621,10.24,6.30,0.88
2_steps_avg3,2,118,140,36,0.766,0.618,9.85,6.21,0.46
2_steps_avg3,3,114,136,34,0.770,0.606,9.87,6.62,0.70
2_steps_avg4,1,106,123,48,0.688,0.555,14.14,7.04,0.58
2_steps_avg4,2,103,118,39,0.725,0.557,14.16,7.08,-0.20
2_steps_avg4,3,90,108,36,0.714,0.508,13.63,7.07,-0.54
2_steps_avg5,1,97,116,37,0.724,0.537,16.06,8.26,-0.23
2_steps_avg5,2,90,108,26,0.776,0.526,15.59,7.89,0.12
2_steps_avg5,3,86,107,24,0.782,0.512,15.10,7.90,-0.04
