Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_avg2,1,93,102,329,0.220,0.286,16.71,6.99,0.61
3_steps_avg2,2,77,83,209,0.269,0.300,17.19,7.29,0.65
3_steps_avg2,3,67,73,163,0.291,0.293,17.93,7.85,-0.87
3_steps_avg3,1,122,148,40,0.753,0.632,10.17,7.38,1.49
3_steps_avg3,2,111,135,31,0.782,0.603,10.13,6.89,0.60
3_steps_avg3,3,108,131,26,0.806,0.600,10.58,7.46,1.03
3_steps_avg4,1,94,107,44,0.681,0.514,16.43,7.78,-0.28
3_steps_avg4,2,92,105,40,0.697,0.513,16.13,7.93,-0.19
3_steps_avg4,3,85,102,35,0.708,0.491,15.63,8.15,-0.44
3_steps_avg5,1,98,122,22,0.817,0.562,13.48,7.17,1.06
3_steps_avg5,2,96,121,20,0.828,0.557,13.30,7.15,0.26
3_steps_avg5,3,95,121,17,0.848,0.557,13.29,7.27,-0.04
4_steps_avg1,1,48,52,925,0.049,0.080,19.47,6.73,2.34
4_steps_avg1,2,43,45,640,0.063,0.094,20.93,7.48,4.57
4_steps_avg1,3,24,24,521,0.044,0.062,19.95,7.31,-0.04
4_steps_avg2,1,123,146,47,0.724,0.617,10.12,7.34,1.37
4_steps_avg2,2,114,136,28,0.803,0.613,10.26,6.85,0.40
4_steps_avg2,3,101,123,25,0.802,0.569,10.70,6.97,1.33
4_steps_avg3,1,108,134,30,0.783,0.590,10.48,7.14,0.39
4_steps_avg3,2,97,122,23,0.808,0.557,10.43,6.76,0.78
4_steps_avg3,3,93,118,17,0.845,0.550,11.31,6.95,1.01
4_steps_avg4,1,97,118,33,0.746,0.537,9.81,7.43,1.51
4_steps_avg4,2,92,114,22,0.807,0.535,10.07,7.62,1.06
4_steps_avg4,3,86,108,20,0.811,0.512,10.98,7.65,0.99
4_steps_avg5,1,79,102,25,0.760,0.479,13.40,8.04,-0.68
4_steps_avg5,2,78,101,24,0.765,0.474,13.36,8.18,-0.10
4_steps_avg5,3,77,99,17,0.819,0.481,13.60,8.43,0.11
5_steps_avg2,1,113,135,67,0.628,0.558,10.31,7.77,1.66
5_steps_avg2,2,102,124,46,0.689,0.543,10.57,7.64,2.48
5_steps_avg2,3,90,113,34,0.726,0.513,10.58,7.18,1.79
5_steps_avg3,1,86,104,32,0.729,0.496,13.01,8.03,0.31
5_steps_avg3,2,86,104,24,0.782,0.507,13.63,7.96,0.85
5_steps_avg3,3,81,99,23,0.779,0.488,14.18,8.04,0.13
5_steps_avg4,1,88,112,22,0.800,0.521,10.90,7.44,-0.26
5_steps_avg4,2,87,112,17,0.837,0.523,11.07,7.36,-0.10
5_steps_avg4,3,83,107,15,0.847,0.508,11.28,7.74,-0.22
5_steps_avg5,1,80,98,24,0.769,0.482,12.71,7.86,0.82
5_steps_avg5,2,79,98,21,0.790,0.482,12.93,8.06,0.52
5_steps_avg5,3,77,96,23,0.770,0.470,12.97,7.86,0.44
3_steps_v2_avg1,1,96,107,761,0.112,0.177,15.42,6.38,-1.18
3_steps_v2_avg1,2,78,88,555,0.123,0.181,15.99,6.51,-1.89
3_steps_v2_avg1,3,61,71,461,0.117,0.162,17.55,6.81,0.10
3_steps_v2_avg2,1,120,140,80,0.600,0.565,11.52,6.10,0.82
3_steps_v2_avg2,2,110,128,56,0.663,0.558,11.52,5.70,0.81
3_steps_v2_avg2,3,105,122,41,0.719,0.560,11.91,6.05,0.96
3_steps_v2_avg3,1,110,124,46,0.705,0.573,13.63,7.78,-0.21
3_steps_v2_avg3,2,102,117,44,0.699,0.547,13.43,7.24,-0.11
3_steps_v2_avg3,3,97,113,39,0.713,0.533,13.91,7.55,-0.06
3_steps_v2_avg4,1,99,117,39,0.717,0.540,14.35,7.49,0.14
3_steps_v2_avg4,2,96,114,32,0.750,0.538,14.57,7.55,0.41
3_steps_v2_avg4,3,94,112,32,0.746,0.530,14.40,7.39,-0.64
3_steps_v2_avg5,1,79,92,57,0.581,0.432,17.69,8.16,0.82
3_steps_v2_avg5,2,72,83,42,0.632,0.419,17.35,8.23,-0.39
3_steps_v2_avg5,3,68,77,40,0.630,0.402,16.63,8.19,-0.19
4_steps_v2_avg1,1,108,124,224,0.325,0.384,14.56,7.09,0.80
4_steps_v2_avg1,2,96,114,152,0.387,0.404,14.61,7.03,2.00
4_steps_v2_avg1,3,85,99,113,0.429,0.401,14.87,7.92,1.27
4_steps_v2_avg2,1,122,142,56,0.685,0.601,10.95,7.35,2.18
4_steps_v2_avg2,2,106,129,32,0.768,0.579,11.52,7.09,1.46
4_steps_v2_avg2,3,95,116,29,0.766,0.540,12.09,6.85,2.29
4_steps_v2_avg3,1,96,108,68,0.585,0.487,13.84,8.77,0.96
4_steps_v2_avg3,2,89,103,51,0.636,0.484,13.81,8.49,-0.09
4_steps_v2_avg3,3,84,98,42,0.667,0.475,14.70,7.87,-0.32
4_steps_v2_avg4,1,93,112,49,0.655,0.504,13.10,8.04,0.17
4_steps_v2_avg4,2,91,111,35,0.722,0.516,12.99,8.14,-0.02
4_steps_v2_avg4,3,93,111,29,0.762,0.533,13.73,8.60,0.59
4_steps_v2_avg5,1,89,110,19,0.824,0.527,11.43,8.00,1.61
4_steps_v2_avg5,2,89,110,11,0.890,0.539,11.91,8.33,0.75
4_steps_v2_avg5,3,87,107,11,0.888,0.532,11.88,8.24,0.92
5_steps_v2_avg1,1,109,126,111,0.495,0.483,12.83,8.19,2.90
5_steps_v2_avg1,2,95,114,81,0.540,0.467,12.69,7.89,0.32
5_steps_v2_avg1,3,88,109,66,0.571,0.460,12.71,8.45,0.88
5_steps_v2_avg2,1,56,61,384,0.127,0.167,16.36,8.83,0.50
5_steps_v2_avg2,2,49,52,283,0.148,0.174,16.99,9.11,-3.40
5_steps_v2_avg2,3,43,47,221,0.163,0.174,16.57,8.79,-0.45
5_steps_v2_avg3,1,98,116,40,0.710,0.536,11.01,7.93,0.02
5_steps_v2_avg3,2,89,109,29,0.754,0.516,11.73,7.67,0.82
5_steps_v2_avg3,3,82,102,26,0.759,0.491,12.16,7.46,0.43
5_steps_v2_avg4,1,88,104,40,0.688,0.493,12.52,8.31,0.20
5_steps_v2_avg4,2,81,99,31,0.723,0.475,12.81,8.41,0.01
5_steps_v2_avg4,3,76,96,26,0.745,0.462,14.18,8.46,-0.19
5_steps_v2_avg5,1,87,111,19,0.821,0.523,12.02,7.89,-1.24
5_steps_v2_avg5,2,85,108,17,0.833,0.518,12.13,7.98,-1.54
5_steps_v2_avg5,3,78,100,14,0.848,0.489,11.46,7.54,-0.29
