Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_v2_avg1,1,95,106,746,0.113,0.178,30,15.15,6.35
3_steps_v2_avg1,2,79,89,562,0.123,0.182,30,16.47,6.61
3_steps_v2_avg1,3,66,75,462,0.125,0.174,30,17.58,6.64
3_steps_v2_avg2,1,120,141,78,0.606,0.567,30,11.52,6.38
3_steps_v2_avg2,2,110,128,58,0.655,0.556,30,11.36,5.61
3_steps_v2_avg2,3,106,124,40,0.726,0.565,30,11.91,6.18
3_steps_v2_avg3,1,109,124,45,0.708,0.572,30,13.36,7.67
3_steps_v2_avg3,2,102,117,44,0.699,0.547,30,13.40,7.28
3_steps_v2_avg3,3,96,112,40,0.706,0.527,30,13.73,7.64
3_steps_v2_avg4,1,100,117,38,0.725,0.545,30,14.30,7.46
3_steps_v2_avg4,2,96,114,30,0.762,0.541,30,14.47,7.38
3_steps_v2_avg4,3,94,112,32,0.746,0.530,30,14.32,7.29
3_steps_v2_avg5,1,80,94,50,0.615,0.446,30,17.70,8.22
3_steps_v2_avg5,2,74,86,44,0.627,0.427,30,17.30,8.25
3_steps_v2_avg5,3,68,78,42,0.618,0.401,30,16.27,8.09
