Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_velocity_avg3,3,111,132,51,0.685,0.569,30,10.87,6.42
1_steps_velocity_avg1,1,170,184,782,0.179,0.288,30,8.05,6.49
1_steps_velocity_avg1,2,136,152,422,0.244,0.346,30,9.76,6.65
1_steps_velocity_avg1,3,116,131,290,0.286,0.367,30,12.10,6.85
1_steps_velocity_avg2,1,152,173,196,0.437,0.529,30,7.90,5.64
1_steps_velocity_avg2,2,143,161,119,0.546,0.584,30,8.48,6.23
1_steps_velocity_avg2,3,128,148,70,0.646,0.601,30,9.32,6.78
1_steps_velocity_avg3,1,126,145,78,0.618,0.581,30,9.58,5.84
1_steps_velocity_avg3,2,123,142,57,0.683,0.599,30,10.09,6.47
1_steps_velocity_avg3,3,109,129,53,0.673,0.556,30,10.21,6.42
1_steps_velocity_avg4,1,117,136,55,0.680,0.586,30,10.77,6.41
1_steps_velocity_avg4,2,113,133,45,0.715,0.587,30,10.42,6.21
1_steps_velocity_avg4,3,111,132,39,0.740,0.587,30,10.48,6.77
1_steps_velocity_avg5,1,103,125,37,0.736,0.561,30,13.45,7.00
1_steps_velocity_avg5,2,97,118,33,0.746,0.542,30,12.96,6.84
1_steps_velocity_avg5,3,95,115,23,0.805,0.549,30,12.84,6.85
2_steps_velocity_avg1,1,101,112,1531,0.062,0.109,30,14.02,7.63
2_steps_velocity_avg1,2,80,88,1132,0.066,0.111,30,15.55,7.16
2_steps_velocity_avg1,3,62,68,837,0.069,0.110,30,16.75,6.35
2_steps_velocity_avg2,1,117,134,203,0.366,0.428,30,12.96,6.01
2_steps_velocity_avg2,2,109,124,141,0.436,0.455,30,13.99,6.26
2_steps_velocity_avg2,3,96,108,110,0.466,0.441,30,14.85,6.54
2_steps_velocity_avg3,1,119,135,49,0.708,0.601,30,11.30,6.54
2_steps_velocity_avg3,2,118,134,46,0.720,0.602,30,11.26,6.57
2_steps_velocity_avg3,3,113,130,39,0.743,0.593,30,11.38,7.07
2_steps_velocity_avg4,1,107,122,55,0.660,0.549,30,14.02,7.09
2_steps_velocity_avg4,2,105,120,41,0.719,0.561,30,14.26,7.09
2_steps_velocity_avg4,3,94,112,38,0.712,0.522,30,13.89,6.89
2_steps_velocity_avg5,1,105,128,17,0.861,0.600,30,13.02,8.06
2_steps_velocity_avg5,2,102,125,18,0.850,0.586,30,12.70,7.94
2_steps_velocity_avg5,3,96,120,14,0.873,0.568,30,12.16,8.06
3_steps_velocity_avg1,1,106,119,566,0.158,0.236,30,15.44,6.32
3_steps_velocity_avg1,2,83,96,387,0.177,0.238,30,16.05,6.04
3_steps_velocity_avg1,3,74,84,298,0.199,0.247,30,18.18,6.17
3_steps_velocity_avg2,1,119,138,83,0.589,0.555,30,12.09,6.45
3_steps_velocity_avg2,2,113,132,67,0.628,0.553,30,12.95,6.77
3_steps_velocity_avg2,3,99,119,55,0.643,0.518,30,13.88,6.75
3_steps_velocity_avg3,1,113,134,45,0.715,0.587,30,11.78,6.93
3_steps_velocity_avg3,2,106,124,36,0.746,0.573,30,12.14,6.93
3_steps_velocity_avg3,3,99,115,37,0.728,0.544,30,12.70,6.97
3_steps_velocity_avg4,1,101,114,39,0.721,0.549,30,15.09,7.69
3_steps_velocity_avg4,2,96,111,36,0.727,0.533,30,14.90,7.41
3_steps_velocity_avg4,3,93,108,31,0.750,0.530,30,15.01,7.91
3_steps_velocity_avg5,1,100,124,14,0.877,0.583,30,12.07,7.66
3_steps_velocity_avg5,2,97,122,13,0.882,0.571,30,11.93,7.84
3_steps_velocity_avg5,3,95,120,13,0.880,0.564,30,11.58,8.01
4_steps_velocity_avg1,1,113,131,315,0.264,0.346,30,13.89,7.01
4_steps_velocity_avg1,2,97,117,225,0.301,0.353,30,13.89,6.83
4_steps_velocity_avg1,3,87,104,183,0.322,0.350,30,15.02,7.43
4_steps_velocity_avg2,1,119,146,41,0.744,0.615,30,10.08,7.18
4_steps_velocity_avg2,2,110,139,30,0.786,0.601,30,10.68,7.08
4_steps_velocity_avg2,3,103,130,27,0.792,0.579,30,10.55,6.88
4_steps_velocity_avg3,1,105,122,47,0.691,0.551,30,10.73,7.62
4_steps_velocity_avg3,2,96,114,38,0.716,0.527,30,10.75,6.98
4_steps_velocity_avg3,3,95,113,35,0.731,0.529,30,11.20,7.22
4_steps_velocity_avg4,1,100,124,18,0.847,0.573,30,10.66,7.28
4_steps_velocity_avg4,2,93,117,17,0.845,0.545,30,10.67,7.46
4_steps_velocity_avg4,3,90,114,16,0.849,0.534,30,10.46,7.59
4_steps_velocity_avg5,1,86,106,32,0.729,0.499,30,12.47,7.70
4_steps_velocity_avg5,2,87,107,27,0.763,0.510,30,12.98,8.33
4_steps_velocity_avg5,3,89,108,19,0.824,0.531,30,13.50,8.70
