Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_velocity_avg3,3,111,133,59,0.653,0.558,30,11.01,6.32
1_steps_velocity_avg2,1,150,170,186,0.446,0.533,30,8.20,5.72
1_steps_velocity_avg2,2,137,154,125,0.523,0.558,30,8.62,6.10
1_steps_velocity_avg2,3,128,150,76,0.627,0.591,30,10.01,7.06
1_steps_velocity_avg3,1,124,142,120,0.508,0.524,30,10.12,6.14
1_steps_velocity_avg3,2,118,140,80,0.596,0.553,30,10.32,6.29
1_steps_velocity_avg3,3,109,130,65,0.626,0.541,30,11.00,6.82
1_steps_velocity_avg4,1,116,135,50,0.699,0.590,30,10.51,6.57
1_steps_velocity_avg4,2,114,134,38,0.750,0.600,30,10.05,6.58
1_steps_velocity_avg4,3,110,131,30,0.786,0.596,30,10.14,7.08
1_steps_velocity_avg5,1,103,123,41,0.715,0.554,30,13.88,6.77
1_steps_velocity_avg5,2,97,115,31,0.758,0.543,30,13.60,6.86
1_steps_velocity_avg5,3,95,113,29,0.766,0.538,30,13.10,7.35
2_steps_velocity_avg2,1,118,135,200,0.371,0.433,30,12.83,6.04
2_steps_velocity_avg2,2,112,127,148,0.431,0.458,30,13.60,6.16
2_steps_velocity_avg2,3,99,113,111,0.471,0.451,30,14.57,6.49
2_steps_velocity_avg3,1,116,132,62,0.652,0.571,30,11.29,5.98
2_steps_velocity_avg3,2,112,130,50,0.691,0.574,30,11.41,6.26
2_steps_velocity_avg3,3,111,130,43,0.721,0.581,30,11.92,7.19
2_steps_velocity_avg4,1,110,125,60,0.647,0.553,30,13.65,7.47
2_steps_velocity_avg4,2,108,124,48,0.692,0.562,30,13.84,7.52
2_steps_velocity_avg4,3,94,112,40,0.701,0.518,30,13.52,7.36
2_steps_velocity_avg5,1,100,126,20,0.833,0.575,30,12.08,7.68
2_steps_velocity_avg5,2,100,126,20,0.833,0.575,30,12.07,7.68
2_steps_velocity_avg5,3,95,120,15,0.864,0.562,30,11.84,7.47
3_steps_velocity_avg2,1,108,126,272,0.284,0.356,30,14.50,7.10
3_steps_velocity_avg2,2,99,116,181,0.354,0.391,30,15.43,7.60
3_steps_velocity_avg2,3,82,99,140,0.369,0.365,30,15.84,7.90
3_steps_velocity_avg3,1,112,132,46,0.709,0.580,30,11.67,7.04
3_steps_velocity_avg3,2,104,122,36,0.743,0.564,30,12.00,6.76
3_steps_velocity_avg3,3,100,119,36,0.735,0.548,30,12.42,7.13
3_steps_velocity_avg4,1,99,113,39,0.717,0.540,30,14.96,7.56
3_steps_velocity_avg4,2,95,112,33,0.742,0.534,30,14.79,7.23
3_steps_velocity_avg4,3,91,107,33,0.734,0.519,30,14.65,7.65
3_steps_velocity_avg5,1,96,120,20,0.828,0.557,30,13.53,7.79
3_steps_velocity_avg5,2,90,115,14,0.865,0.541,30,13.03,7.79
3_steps_velocity_avg5,3,89,113,13,0.873,0.538,30,12.93,7.95
4_steps_velocity_avg2,1,125,145,47,0.727,0.625,30,10.73,7.30
4_steps_velocity_avg2,2,110,134,30,0.786,0.598,30,10.82,6.80
4_steps_velocity_avg2,3,106,130,26,0.803,0.591,30,10.96,7.05
4_steps_velocity_avg3,1,107,129,41,0.723,0.568,30,9.99,7.62
4_steps_velocity_avg3,2,102,123,32,0.761,0.562,30,10.35,7.68
4_steps_velocity_avg3,3,98,120,26,0.790,0.557,30,10.93,7.49
4_steps_velocity_avg4,1,95,118,25,0.792,0.541,30,9.85,6.78
4_steps_velocity_avg4,2,92,115,20,0.821,0.536,30,9.94,6.80
4_steps_velocity_avg4,3,87,111,13,0.870,0.527,30,10.06,7.10
4_steps_velocity_avg5,1,84,104,46,0.646,0.472,30,12.86,7.81
4_steps_velocity_avg5,2,84,104,42,0.667,0.477,30,13.05,8.03
4_steps_velocity_avg5,3,83,102,33,0.716,0.485,30,13.22,8.08
