Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
4_steps_avg1,1,97,119,67,0.591,0.486,10.69,7.15,0.12
4_steps_avg1,2,94,118,58,0.618,0.486,11.11,7.54,1.32
4_steps_avg1,3,89,114,51,0.636,0.475,11.13,7.48,0.68
4_steps_avg2,1,103,135,59,0.636,0.519,9.20,7.29,0.42
4_steps_avg2,2,92,127,48,0.657,0.491,8.80,6.72,0.36
4_steps_avg2,3,79,108,41,0.658,0.445,9.47,7.40,0.51
4_steps_avg3,1,90,123,40,0.692,0.493,7.12,6.19,0.75
4_steps_avg3,2,84,117,30,0.737,0.481,7.32,6.56,1.06
4_steps_avg3,3,83,116,25,0.769,0.484,7.36,6.51,0.63
4_steps_avg4,1,89,116,25,0.781,0.510,9.14,7.66,1.64
4_steps_avg4,2,82,108,24,0.774,0.481,8.97,7.09,0.88
4_steps_avg4,3,80,105,24,0.769,0.472,9.37,7.31,1.38
4_steps_avg5,1,85,115,19,0.817,0.501,8.81,7.07,0.85
4_steps_avg5,2,83,112,19,0.814,0.493,9.21,7.33,1.34
4_steps_avg5,3,76,107,20,0.792,0.459,8.63,6.57,0.99
5_steps_avg2,1,104,141,50,0.675,0.535,9.52,7.32,-0.39
5_steps_avg2,2,96,134,30,0.762,0.532,9.07,7.07,0.39
5_steps_avg2,3,84,116,26,0.764,0.487,9.85,7.54,0.18
5_steps_avg3,1,90,116,28,0.763,0.510,9.01,7.27,1.24
5_steps_avg3,2,85,113,17,0.833,0.504,9.27,7.72,1.80
5_steps_avg3,3,77,105,17,0.819,0.468,9.19,7.33,1.47
5_steps_avg4,1,75,105,23,0.765,0.450,8.37,6.44,1.61
5_steps_avg4,2,73,102,21,0.777,0.444,8.30,6.69,1.61
5_steps_avg4,3,72,102,20,0.783,0.440,9.11,7.08,1.93
5_steps_avg5,1,86,113,20,0.811,0.504,8.88,7.35,2.77
5_steps_avg5,2,81,112,17,0.827,0.486,9.29,7.78,2.68
5_steps_avg5,3,77,107,15,0.837,0.471,9.40,7.69,1.88
3_steps_v2_avg1,1,119,142,99,0.546,0.525,9.60,6.94,0.93
3_steps_v2_avg1,2,111,134,73,0.603,0.530,10.88,7.56,0.77
3_steps_v2_avg1,3,96,120,62,0.608,0.489,11.21,7.61,0.26
3_steps_v2_avg2,1,117,146,67,0.636,0.558,7.94,6.85,0.91
3_steps_v2_avg2,2,111,138,49,0.694,0.562,8.30,6.69,1.68
3_steps_v2_avg2,3,95,122,43,0.688,0.509,8.26,6.07,0.94
3_steps_v2_avg3,1,102,132,56,0.646,0.519,7.15,6.64,0.81
3_steps_v2_avg3,2,99,131,41,0.707,0.528,7.55,6.43,0.51
3_steps_v2_avg3,3,92,125,36,0.719,0.507,8.21,6.80,0.40
3_steps_v2_avg4,1,101,129,33,0.754,0.547,8.67,7.67,1.75
3_steps_v2_avg4,2,97,127,31,0.758,0.534,8.20,6.83,1.12
3_steps_v2_avg4,3,93,123,29,0.762,0.521,9.09,7.94,1.65
3_steps_v2_avg5,1,86,119,20,0.811,0.504,8.58,6.57,1.04
3_steps_v2_avg5,2,85,117,19,0.817,0.501,8.55,6.17,1.44
3_steps_v2_avg5,3,85,117,19,0.817,0.501,9.11,6.34,1.30
4_steps_v2_avg1,1,92,113,80,0.535,0.452,11.60,6.98,-1.15
4_steps_v2_avg1,2,85,105,59,0.590,0.449,11.41,6.94,-0.02
4_steps_v2_avg1,3,78,99,54,0.591,0.425,12.02,7.97,-0.07
4_steps_v2_avg2,1,105,138,71,0.597,0.511,9.57,7.54,1.21
4_steps_v2_avg2,2,96,127,54,0.640,0.499,9.62,7.73,0.73
4_steps_v2_avg2,3,83,112,47,0.638,0.455,9.46,7.45,-0.77
4_steps_v2_avg3,1,99,136,43,0.697,0.525,7.65,6.60,-0.09
4_steps_v2_avg3,2,93,130,25,0.788,0.527,7.82,6.33,0.49
4_steps_v2_avg3,3,90,127,20,0.818,0.522,7.88,5.98,0.85
4_steps_v2_avg4,1,88,118,24,0.786,0.507,8.45,7.46,0.37
4_steps_v2_avg4,2,84,115,24,0.778,0.490,8.05,7.07,1.04
4_steps_v2_avg4,3,83,112,21,0.798,0.490,8.50,7.59,1.50
4_steps_v2_avg5,1,80,109,20,0.800,0.478,9.18,7.60,1.98
4_steps_v2_avg5,2,80,109,18,0.816,0.480,9.23,7.62,2.00
4_steps_v2_avg5,3,80,109,18,0.816,0.480,9.46,7.65,2.04
5_steps_v2_avg1,1,78,98,72,0.520,0.405,12.52,7.83,-0.82
5_steps_v2_avg1,2,70,89,58,0.547,0.386,12.47,7.96,0.32
5_steps_v2_avg1,3,66,86,50,0.569,0.376,12.10,8.28,0.07
5_steps_v2_avg2,1,92,128,54,0.630,0.483,10.95,7.92,-0.39
5_steps_v2_avg2,2,84,116,44,0.656,0.463,10.67,7.99,0.66
5_steps_v2_avg2,3,80,111,42,0.656,0.448,10.22,7.99,0.87
5_steps_v2_avg3,1,86,119,30,0.741,0.490,8.86,7.27,-1.35
5_steps_v2_avg3,2,78,111,30,0.722,0.455,9.03,7.46,-1.11
5_steps_v2_avg3,3,74,103,26,0.740,0.442,9.00,7.22,-1.68
5_steps_v2_avg4,1,83,115,21,0.798,0.490,8.90,7.31,2.43
5_steps_v2_avg4,2,82,114,20,0.804,0.487,8.80,6.77,2.03
5_steps_v2_avg4,3,78,111,20,0.796,0.468,9.21,6.58,1.17
5_steps_v2_avg5,1,78,109,26,0.750,0.460,8.52,7.23,1.53
5_steps_v2_avg5,2,74,105,22,0.771,0.447,8.57,6.81,1.61
5_steps_v2_avg5,3,76,107,20,0.792,0.459,9.38,7.15,1.29
