Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_avg1,1,189,203,159,0.543,0.656,5.58,5.82,-0.09
1_step_avg1,2,149,175,107,0.582,0.625,6.40,6.55,0.06
1_step_avg1,3,121,151,71,0.630,0.585,6.68,5.86,-0.57
1_step_avg2,1,155,184,101,0.605,0.653,6.17,6.67,-0.46
1_step_avg2,2,137,163,77,0.640,0.630,6.17,6.43,-0.83
1_step_avg2,3,118,145,42,0.738,0.616,7.06,6.63,-0.81
1_step_avg3,1,124,156,50,0.713,0.625,6.46,5.55,-0.79
1_step_avg3,2,122,151,38,0.762,0.637,6.65,5.78,-0.81
1_step_avg3,3,105,137,31,0.772,0.582,6.60,5.61,-0.31
1_step_avg4,1,112,146,40,0.737,0.599,8.18,6.30,0.20
1_step_avg4,2,101,133,29,0.777,0.571,7.62,5.82,0.01
1_step_avg4,3,97,129,27,0.782,0.561,7.44,5.53,0.04
1_step_avg5,1,97,127,25,0.795,0.562,9.72,6.68,0.57
1_step_avg5,2,96,128,22,0.814,0.565,9.57,6.58,0.40
1_step_avg5,3,87,118,21,0.806,0.527,8.73,5.98,0.25
