Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_avg1,1,191,205,163,0.540,0.656,30,5.50,5.76
1_step_avg1,2,150,176,102,0.595,0.634,30,6.32,6.54
1_step_avg1,3,121,151,71,0.630,0.586,30,6.41,5.78
1_step_avg2,1,153,180,93,0.622,0.655,30,6.37,6.88
1_step_avg2,2,137,163,73,0.652,0.636,30,6.17,6.44
1_step_avg2,3,118,144,38,0.756,0.623,30,6.94,6.66
1_step_avg3,1,124,155,52,0.705,0.622,30,6.42,5.46
1_step_avg3,2,122,151,34,0.782,0.644,30,6.63,5.70
1_step_avg3,3,106,138,30,0.779,0.587,30,6.73,5.88
1_step_avg4,1,113,146,37,0.753,0.608,30,8.49,6.63
1_step_avg4,2,101,133,31,0.765,0.569,30,7.55,5.60
1_step_avg4,3,101,134,25,0.802,0.579,30,7.51,5.85
1_step_avg5,1,97,127,27,0.782,0.559,30,9.56,6.47
1_step_avg5,2,95,127,25,0.792,0.556,30,9.26,6.11
1_step_avg5,3,88,119,22,0.800,0.530,30,8.63,5.75
