Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
2_steps_avg1,1,137,168,119,0.535,0.572,7.66,6.84,-0.80
2_steps_avg1,2,117,144,93,0.557,0.539,8.34,6.83,-0.10
2_steps_avg1,3,97,122,65,0.599,0.500,9.30,7.43,-0.25
2_steps_avg2,1,127,156,81,0.611,0.592,7.15,6.57,0.04
2_steps_avg2,2,115,146,65,0.639,0.574,7.96,6.76,0.12
2_steps_avg2,3,101,126,55,0.647,0.533,8.35,6.91,-0.50
2_steps_avg3,1,118,146,50,0.702,0.607,7.30,6.75,0.45
2_steps_avg3,2,112,140,44,0.718,0.594,7.83,6.73,1.17
2_steps_avg3,3,101,131,33,0.754,0.567,7.70,5.92,0.11
2_steps_avg4,1,102,131,32,0.761,0.570,8.00,6.68,0.40
2_steps_avg4,2,99,129,29,0.773,0.562,7.90,6.67,0.02
2_steps_avg4,3,93,124,23,0.802,0.547,7.50,5.89,0.78
2_steps_avg5,1,97,126,21,0.822,0.567,8.77,7.34,0.77
2_steps_avg5,2,91,123,19,0.827,0.545,8.62,7.22,0.79
2_steps_avg5,3,90,121,18,0.833,0.541,9.16,7.81,1.34
