Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_avg2,1,122,152,80,0.604,0.574,8.08,6.66,0.91
3_steps_avg2,2,103,133,63,0.620,0.526,7.86,6.32,0.26
3_steps_avg2,3,102,129,52,0.662,0.537,9.17,7.12,-0.81
3_steps_avg3,1,101,131,57,0.639,0.532,7.78,6.88,-0.01
3_steps_avg3,2,89,115,39,0.695,0.504,7.65,6.15,-0.26
3_steps_avg3,3,86,111,34,0.717,0.499,8.66,6.92,-0.35
3_steps_avg4,1,95,120,23,0.805,0.548,8.92,6.00,0.02
3_steps_avg4,2,92,117,18,0.836,0.541,9.05,5.99,0.00
3_steps_avg4,3,91,115,17,0.843,0.538,9.33,5.96,0.88
3_steps_avg5,1,88,117,24,0.786,0.521,9.04,6.93,1.32
3_steps_avg5,2,89,118,17,0.840,0.535,9.26,7.39,1.66
3_steps_avg5,3,85,115,15,0.850,0.520,8.66,6.74,1.80
4_steps_avg1,1,100,122,74,0.575,0.501,11.04,7.21,1.12
4_steps_avg1,2,92,117,54,0.630,0.501,11.01,7.23,0.80
4_steps_avg1,3,83,108,47,0.638,0.468,10.74,7.16,0.21
4_steps_avg2,1,98,131,58,0.628,0.517,9.39,7.39,0.01
4_steps_avg2,2,92,127,48,0.657,0.505,9.09,6.74,0.22
4_steps_avg2,3,77,106,43,0.642,0.444,9.44,6.95,-0.12
4_steps_avg3,1,88,122,34,0.721,0.512,7.64,7.13,0.80
4_steps_avg3,2,83,115,29,0.741,0.497,7.42,6.64,0.01
4_steps_avg3,3,84,116,26,0.764,0.503,8.01,7.04,0.17
4_steps_avg4,1,84,110,24,0.778,0.500,8.92,7.44,0.47
4_steps_avg4,2,82,108,24,0.774,0.491,8.93,7.02,0.67
4_steps_avg4,3,81,106,21,0.794,0.492,9.71,7.62,0.94
4_steps_avg5,1,83,114,21,0.798,0.503,8.81,7.25,0.20
4_steps_avg5,2,82,113,18,0.820,0.502,9.31,7.48,1.01
4_steps_avg5,3,76,107,20,0.792,0.472,8.75,6.74,0.94
5_steps_avg2,1,103,139,53,0.660,0.542,9.08,6.82,-0.22
5_steps_avg2,2,94,129,30,0.758,0.537,8.79,6.90,-0.33
5_steps_avg2,3,88,121,24,0.786,0.521,9.44,7.39,0.07
5_steps_avg3,1,92,119,24,0.793,0.538,9.30,7.87,1.13
5_steps_avg3,2,85,115,19,0.817,0.517,8.96,7.72,1.60
5_steps_avg3,3,79,108,17,0.823,0.489,9.10,7.27,1.77
5_steps_avg4,1,77,106,25,0.755,0.471,8.52,7.16,1.91
5_steps_avg4,2,71,101,23,0.755,0.445,7.87,6.44,1.13
5_steps_avg4,3,70,100,22,0.761,0.438,8.79,6.90,1.12
5_steps_avg5,1,85,114,17,0.833,0.517,8.58,7.00,2.76
5_steps_avg5,2,82,114,16,0.837,0.505,8.72,6.95,2.62
5_steps_avg5,3,78,109,16,0.830,0.484,9.22,7.39,1.77
3_steps_v2_avg1,1,115,136,93,0.553,0.534,9.46,6.43,0.12
3_steps_v2_avg1,2,103,127,77,0.572,0.515,10.28,6.79,0.85
3_steps_v2_avg1,3,94,118,60,0.610,0.497,11.01,7.64,-0.07
3_steps_v2_avg2,1,122,151,62,0.663,0.605,8.25,7.02,0.21
3_steps_v2_avg2,2,108,136,52,0.675,0.567,8.03,6.65,0.56
3_steps_v2_avg2,3,98,126,42,0.700,0.537,8.55,6.84,-0.65
3_steps_v2_avg3,1,101,133,49,0.673,0.542,6.88,6.34,-0.52
3_steps_v2_avg3,2,98,133,40,0.710,0.541,7.23,6.12,-0.60
3_steps_v2_avg3,3,92,126,36,0.719,0.524,7.82,6.36,-0.72
3_steps_v2_avg4,1,99,128,29,0.773,0.559,8.17,7.61,0.96
3_steps_v2_avg4,2,98,127,30,0.766,0.554,8.36,7.62,1.25
3_steps_v2_avg4,3,94,123,26,0.783,0.542,8.63,7.83,1.15
3_steps_v2_avg5,1,90,122,20,0.818,0.533,8.63,6.22,0.35
3_steps_v2_avg5,2,85,117,21,0.802,0.509,8.36,5.83,0.12
3_steps_v2_avg5,3,84,114,18,0.824,0.509,9.32,6.49,1.17
4_steps_v2_avg1,1,95,115,79,0.546,0.477,11.65,6.94,-0.91
4_steps_v2_avg1,2,83,103,61,0.576,0.450,11.08,6.95,0.63
4_steps_v2_avg1,3,77,94,57,0.575,0.425,11.65,7.76,-0.85
4_steps_v2_avg2,1,98,129,62,0.613,0.512,9.02,7.25,-0.02
4_steps_v2_avg2,2,92,124,46,0.667,0.507,9.16,7.38,-1.02
4_steps_v2_avg2,3,83,111,45,0.648,0.468,9.53,7.58,-0.89
4_steps_v2_avg3,1,101,138,37,0.732,0.561,7.94,6.79,-0.74
4_steps_v2_avg3,2,93,128,21,0.816,0.552,7.85,6.22,0.41
4_steps_v2_avg3,3,89,124,23,0.795,0.530,7.95,6.01,0.36
4_steps_v2_avg4,1,88,116,26,0.772,0.518,8.03,7.40,-0.22
4_steps_v2_avg4,2,87,117,25,0.777,0.515,8.08,7.29,-0.15
4_steps_v2_avg4,3,86,116,22,0.796,0.513,8.98,8.14,0.64
4_steps_v2_avg5,1,80,109,20,0.800,0.491,9.08,7.63,1.61
4_steps_v2_avg5,2,81,109,19,0.810,0.497,9.60,8.04,2.17
4_steps_v2_avg5,3,79,109,19,0.806,0.489,9.41,7.79,1.43
5_steps_v2_avg1,1,78,98,70,0.527,0.419,12.43,7.68,-0.60
5_steps_v2_avg1,2,71,90,59,0.546,0.400,12.76,8.17,0.07
5_steps_v2_avg1,3,67,87,51,0.568,0.391,12.14,8.48,0.02
5_steps_v2_avg2,1,90,124,52,0.634,0.492,10.95,8.10,0.05
5_steps_v2_avg2,2,84,114,42,0.667,0.477,10.59,8.00,2.19
5_steps_v2_avg2,3,74,100,36,0.673,0.437,10.33,8.04,2.40
5_steps_v2_avg3,1,83,116,37,0.692,0.481,8.63,6.80,-0.87
5_steps_v2_avg3,2,79,111,33,0.705,0.470,8.93,6.90,-0.34
5_steps_v2_avg3,3,73,101,31,0.702,0.444,8.91,6.84,-0.02
5_steps_v2_avg4,1,81,115,21,0.794,0.492,8.23,6.41,1.79
5_steps_v2_avg4,2,82,114,20,0.804,0.498,8.94,7.25,2.14
5_steps_v2_avg4,3,79,112,21,0.790,0.485,9.28,7.01,1.72
5_steps_v2_avg5,1,78,107,22,0.780,0.477,8.84,7.17,2.19
5_steps_v2_avg5,2,78,107,20,0.796,0.481,9.33,7.49,2.18
5_steps_v2_avg5,3,76,105,20,0.792,0.471,9.33,7.45,1.51
