Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_v2_avg1,1,116,137,98,0.542,0.531,30,9.61,6.55
3_steps_v2_avg1,2,104,128,72,0.591,0.525,30,10.40,6.79
3_steps_v2_avg1,3,94,118,60,0.610,0.497,30,11.02,7.41
3_steps_v2_avg2,1,122,151,62,0.663,0.604,30,8.30,7.06
3_steps_v2_avg2,2,108,136,52,0.675,0.567,30,8.06,6.71
3_steps_v2_avg2,3,99,126,43,0.697,0.541,30,8.90,7.36
3_steps_v2_avg3,1,101,133,49,0.673,0.542,30,6.94,6.39
3_steps_v2_avg3,2,98,133,40,0.710,0.541,30,7.28,6.17
3_steps_v2_avg3,3,91,124,37,0.711,0.517,30,7.72,6.02
3_steps_v2_avg4,1,98,127,28,0.778,0.555,30,8.48,7.85
3_steps_v2_avg4,2,96,125,28,0.774,0.549,30,8.29,7.53
3_steps_v2_avg4,3,94,123,26,0.783,0.542,30,8.74,7.90
3_steps_v2_avg5,1,90,122,20,0.818,0.533,30,8.68,6.25
3_steps_v2_avg5,2,85,116,19,0.817,0.512,30,8.45,5.74
3_steps_v2_avg5,3,84,114,18,0.824,0.509,30,9.45,6.42
