Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_velocity_avg3,3,105,136,33,0.761,0.579,30,6.83,6.00
1_steps_velocity_avg1,1,193,207,145,0.571,0.682,30,5.58,5.89
1_steps_velocity_avg1,2,153,179,87,0.637,0.664,30,6.51,6.70
1_steps_velocity_avg1,3,120,150,64,0.652,0.596,30,6.88,6.08
1_steps_velocity_avg2,1,142,170,100,0.587,0.613,30,7.12,6.98
1_steps_velocity_avg2,2,132,155,76,0.635,0.614,30,7.53,7.18
1_steps_velocity_avg2,3,114,142,54,0.679,0.588,30,8.35,7.27
1_steps_velocity_avg3,1,123,153,61,0.668,0.607,30,7.06,5.87
1_steps_velocity_avg3,2,115,143,51,0.693,0.591,30,7.39,6.22
1_steps_velocity_avg3,3,100,125,38,0.725,0.552,30,7.97,6.95
1_steps_velocity_avg4,1,110,141,38,0.743,0.591,30,8.50,6.53
1_steps_velocity_avg4,2,103,139,27,0.792,0.584,30,8.20,6.14
1_steps_velocity_avg4,3,96,130,24,0.800,0.560,30,7.57,5.63
1_steps_velocity_avg5,1,92,119,30,0.754,0.533,30,8.91,6.38
1_steps_velocity_avg5,2,89,119,19,0.824,0.539,30,8.34,5.76
1_steps_velocity_avg5,3,88,119,18,0.830,0.537,30,7.77,5.54
2_steps_velocity_avg1,1,143,170,125,0.534,0.581,30,7.22,6.55
2_steps_velocity_avg1,2,122,148,92,0.570,0.557,30,7.27,6.54
2_steps_velocity_avg1,3,107,136,73,0.594,0.531,30,8.51,7.37
2_steps_velocity_avg2,1,139,165,95,0.594,0.611,30,6.37,5.98
2_steps_velocity_avg2,2,124,154,68,0.646,0.599,30,6.41,6.00
2_steps_velocity_avg2,3,105,137,55,0.656,0.548,30,7.57,6.62
2_steps_velocity_avg3,1,116,143,64,0.644,0.580,30,6.76,5.75
2_steps_velocity_avg3,2,108,138,56,0.659,0.562,30,7.42,6.22
2_steps_velocity_avg3,3,97,128,41,0.703,0.536,30,7.65,6.42
2_steps_velocity_avg4,1,103,133,35,0.746,0.566,30,8.50,6.81
2_steps_velocity_avg4,2,102,130,28,0.785,0.571,30,8.49,7.27
2_steps_velocity_avg4,3,99,127,27,0.786,0.561,30,8.35,6.99
2_steps_velocity_avg5,1,88,115,22,0.800,0.524,30,9.08,7.17
2_steps_velocity_avg5,2,86,114,22,0.796,0.513,30,8.99,7.04
2_steps_velocity_avg5,3,80,110,22,0.784,0.485,30,9.06,7.21
3_steps_velocity_avg1,1,113,131,79,0.589,0.539,30,9.39,7.33
3_steps_velocity_avg1,2,99,124,65,0.604,0.508,30,9.28,7.14
3_steps_velocity_avg1,3,92,117,56,0.622,0.493,30,9.87,7.83
3_steps_velocity_avg2,1,113,140,71,0.614,0.558,30,8.35,6.94
3_steps_velocity_avg2,2,105,132,61,0.633,0.540,30,8.87,7.23
3_steps_velocity_avg2,3,93,115,43,0.684,0.515,30,10.33,8.63
3_steps_velocity_avg3,1,105,132,45,0.700,0.561,30,6.71,5.97
3_steps_velocity_avg3,2,97,123,35,0.735,0.545,30,7.05,6.21
3_steps_velocity_avg3,3,89,116,35,0.718,0.511,30,7.33,6.36
3_steps_velocity_avg4,1,90,122,36,0.714,0.514,30,8.13,7.01
3_steps_velocity_avg4,2,87,119,33,0.725,0.506,30,8.00,6.98
3_steps_velocity_avg4,3,83,114,27,0.755,0.497,30,7.78,6.89
3_steps_velocity_avg5,1,82,115,22,0.788,0.497,30,7.77,5.82
3_steps_velocity_avg5,2,82,114,20,0.804,0.500,30,7.81,5.85
3_steps_velocity_avg5,3,81,113,19,0.810,0.497,30,7.97,6.12
4_steps_velocity_avg1,1,94,114,66,0.588,0.490,30,11.78,7.01
4_steps_velocity_avg1,2,83,103,53,0.610,0.461,30,11.45,7.08
4_steps_velocity_avg1,3,77,99,47,0.621,0.441,30,11.93,7.93
4_steps_velocity_avg2,1,90,112,52,0.634,0.492,30,9.80,7.26
4_steps_velocity_avg2,2,84,107,42,0.667,0.477,30,10.24,7.35
4_steps_velocity_avg2,3,77,98,35,0.688,0.454,30,10.35,7.41
4_steps_velocity_avg3,1,91,125,51,0.641,0.497,30,8.70,7.62
4_steps_velocity_avg3,2,88,122,42,0.677,0.494,30,8.67,7.37
4_steps_velocity_avg3,3,80,113,32,0.714,0.471,30,8.88,7.15
4_steps_velocity_avg4,1,79,110,27,0.745,0.479,30,7.87,6.43
4_steps_velocity_avg4,2,81,112,25,0.764,0.491,30,8.61,7.13
4_steps_velocity_avg4,3,77,108,23,0.770,0.472,30,8.90,7.32
4_steps_velocity_avg5,1,84,116,22,0.792,0.505,30,8.49,6.94
4_steps_velocity_avg5,2,80,110,20,0.800,0.489,30,8.27,6.32
4_steps_velocity_avg5,3,74,106,20,0.787,0.460,30,7.90,5.96
